arquivo	proveniencia	sha256_integracao	presente_inventario_base
_product/tasks/TASK-157-upload-multipart-video-apresentacao.md	Tesla;uploads_estados;integral_inicial | Tesla;consumidores_midia;integral_inicial	0fab8b20b9855c8faa0cd935b5f0a2d0081f02d0793048369c8005b0e8c6f5d1	true
_product/tasks/TASK-163-streaming-privado-cloudflare-stream.md	Tesla;uploads_estados;integral_inicial | Tesla;consumidores_midia;integral_inicial	aa573b279e184ec4085e2e7466791fe095d8efeee2c6ccf57d5b2e0d95ac9392	true
_product/tasks/TASK-165-migracao-segura-videos-r2-cloudflare-stream.md	Tesla;uploads_estados;integral_inicial | Tesla;consumidores_midia;integral_inicial	4cd1947e8aaafaf5285e641cdf329482a2174cded629d1b0b869b0da7cc67e82	true
_product/tasks/TASK-166-estabilizar-origem-migracao-r2-stream.md	Tesla;uploads_estados;integral_inicial | Tesla;consumidores_midia;integral_inicial	ffa19b9c97567e6b90f8f82cb6ea20d18c6312bbe9613b3451c73acd0c50e405	true
_product/tasks/TASK-167-restaurar-playback-publico-stream.md	Tesla;uploads_estados;integral_inicial | Tesla;consumidores_midia;integral_inicial	aadf5b54414a461784832897e3894bb21808fd92069bcc073403ad951e01fdf6	true
_product/tasks/TASK-171-corrigir-troca-video-apresentacao-psicologo.md	Tesla;uploads_estados;integral_inicial | Tesla;consumidores_midia;integral_inicial	16e37cf45f949341313487cfdf96f9210c2f41d91749a0b017a9531deed82c54	true
_product/tasks/TASK-173-corrigir-upload-video-posts-respostas.md	Tesla;uploads_estados;integral_inicial | Tesla;consumidores_midia;integral_inicial	6d6c6dc6ef874332e86be6ec29712f1c2b0cebb9f06d8246d8b3ef2d31b0e2bb	true
_product/tasks/TASK-178-auditoria-pre-producao.md	Lagrange;video;integral | Lagrange;estado_posts;integral | Lagrange;perfil;integral | Lagrange;perfil328;integral | Tesla;checkout;integral_inicial | Tesla;financeiro330;integral_inicial	b7d3a7a8f1fd8f4fa1415d4e33a303d8d062cd701be7dc7f50995f35179af61a	false
_product/tasks/TASK-29a-notificacoes-fundacao.md	Tesla;notificacoes;integral	3b0f608ed5698e06a85ab9c5b2ecf5ff63d5f4b2510b695f43cd55f35d35895c	true
_product/tasks/TASK-29b-notificacoes-eventos.md	Tesla;notificacoes;integral	9d0296e8b026ade730c317e741a1d8f6fe8d2731ef202a8670189a25dbc58b7b	true
_product/tasks/TASK-32-checkout-assinatura.md	Tesla;checkout;integral_inicial | Tesla;financeiro330;integral_inicial	221f00df01a81fa27c84337bebf481375f7008077e4724e053b5173eda791d4e	true
_product/tasks/TASK-38-permissao-contextual-notificacoes-navegador.md	Tesla;notificacoes;integral	77576978ad8307e3e151bd1e03a50764d02969512e45038fc9a6345ea0c21741	true
_product/tasks/TASK-41-paginas-legais-termos-privacidade.md	Planck;legal340;integral	a81a64210ef7eedfe62fe43824e017fd458dcfea7580a4f819405a1d6a1d554e	true
_product/tasks/TASK-59-detalhe-psicologo-atividades-admin.md	Tesla;historico_notificacoes338;integral	0157d7bb29fd23c3386f846c3d7b840b07cd3c4c514c80a4ecd9b7262834bfc6	true
_product/tasks/TASK-63-fundacao-campanhas-logs-notificacoes-admin.md	Tesla;historico_notificacoes338;integral	87b89dea22b95176eeb837afec283740f9607d306dbd58b7ddda88c7bb1fb4ba	true
_product/tasks/TASK-73-acoes-conta-psicologo-admin.md	Tesla;historico_notificacoes338;integral	eb519b3d76f9f49af13e585968f20f874fce93f612b71477935431bb97f4e8c1	true
admin/.env.example	parent;config342;example_integral_sem_truncamento;nao_env_real	46aa91bb75585f560dfe0146030a9281575381054506fb1db5b621142d1d9ec5	true
admin/.gitignore	parent;config342;conteudo_integral_sem_truncamento;sem_executar_builder	b10235df0658b7806f41b4b181342de1b4f3d78b1717ca1bdd1ca77805b4a122	true
admin/biome.json	parent;config342;conteudo_integral_sem_truncamento;sem_executar_builder	18b9bdf54340556531235e415a1c70c52d85322d74e63b992c23e80a466c70b6	true
admin/eslint.config.mjs	Socrates;admin275;fonte_congelada_integral	afc1b0b11f44d926dd4f1d0570e05710ae9d8c396bb9ff88e3ea8cb252eff405	true
admin/next-env.d.ts	Socrates;admin275;fonte_congelada_integral	1862ac4bbbc5192d4bf562161df66ea547ed3e67173100656ab606ae9797db2b	true
admin/next.config.ts	Socrates;admin275;fonte_congelada_integral	0d9bb8dd1f72b9b8df74a1821d5b0dcdb99f480aac98294b806b10b0f9b5e841	true
admin/pnpm-workspace.yaml	parent;config342;conteudo_integral_sem_truncamento;sem_executar_builder	fa19925fe1901a6a6343eb625edfae51bebe4744c4c999f594587b5a723f05ea	true
admin/postcss.config.mjs	Socrates;admin275;fonte_congelada_integral	dfac7ac2d86d326a0e5adb024e7943c181393ed17a5fcb8f0315b24c7da6ddde	true
admin/scripts/remove-production-source-maps.mjs	principal;integral	8768250e8f02b26a221d44f4b5983835f0324910175efb0403dc1e8b6b80e263	true
admin/scripts/sync-route-group-manifests.mjs	Socrates;admin275;fonte_congelada_integral	f9e91db6f102668531e44df1f54e6b3bd1da1eb394b0cb95b687cac5bb77994c	true
admin/src/api/admin-auth.ts	Socrates;admin275;fonte_congelada_integral	1959e129075614e31db39bfa24fca2681d79581115978e2c40f93fb7476d3ccc	true
admin/src/api/cache/keys.ts	Euclid;conteudo328;integral	9552f0ae2605c4cbe9d9f6e13d5b9d0a058280b392b4b9ca1315f3ba4b6db70c	true
admin/src/api/callers/communities/index.ts	Euclid;denuncias;integral | Euclid;conteudo328;integral | Socrates;admin275;fonte_congelada_integral	0162acd73db00f6e6e162938960324954f2a24fe5047ac4c6b7a710e87eb4d4b	true
admin/src/api/callers/dashboard/index.ts	Socrates;admin275;fonte_congelada_integral	579045ede23070b693452721d4f4833d1d4250f3c9b3eb929b917f566f73bb19	true
admin/src/api/callers/finance/index.ts	Tesla;financeiro330;integral_inicial	217d2aabeaad072f641125f87b1effb5beaa5da8a23d445ed15d0841e9228080	true
admin/src/api/callers/moderation/index.ts	Socrates;admin275;fonte_congelada_integral	c630dd9de7dd308bc255a5ab3f0be5ae0110c830202a761c54ae6c59de2c5b2b	true
admin/src/api/callers/notifications/index.ts	Socrates;admin275;fonte_congelada_integral	19c3c6bf003b5fa7c661227454abddc6b4be3a32bbecb9d40d0cbce68efe662d	true
admin/src/api/callers/patients/index.ts	Socrates;admin275;fonte_congelada_integral	1843e1008e22dbf0308066df87994b07426ea14d92e97ed6602dbe621af48daa	true
admin/src/api/callers/patients/list.ts	Socrates;admin275;fonte_congelada_integral	de8a42c07d52e18e492cda390b11f7541ccef9bcab2374c70d576fcd3bdf0b79	true
admin/src/api/callers/psychologists/index.ts	Socrates;admin275;fonte_congelada_integral	c43d5a4fb03728fafd4e56713363ee6efbebb395831f6d143c9d69c292bd3e80	true
admin/src/api/callers/settings/index.ts	Goodall;configuracoesSEO;integral_inicial	d70ca3c0b146d314d1208e5e11f8c9de8a01fa8fe8abf53b72b5723a8deb7c6b	true
admin/src/api/callers/traffic/index.ts	Socrates;admin275;fonte_congelada_integral	a3704776684bb19bc179db1f9640c727bbedf4dbd18ae1a5257a0ecd786761fb	true
admin/src/api/callers/video-assets/index.ts	Socrates;admin275;fonte_congelada_integral	c98e80836ee73edbdce3ed38e5d0a6c9bcbe3733a255d6da595c62663719f9fc	true
admin/src/api/client.ts	Euclid;denuncias;integral	c62bddb9eae8ddd135d6b95797b34614e6d39f677b531da08d36c92dd898badc	true
admin/src/api/errors.ts	Tesla;financeiro330;integral_inicial	5a906a863e19730da0f16c3f2733331fdc84bc6f35e9e704b239e85950e5034a	true
admin/src/api/handle.ts	Tesla;financeiro330;integral_inicial | Goodall;configuracoesSEO;integral_inicial	b064c547ae49e818f888e4f3848991b6dd7106f1447f91426b6a4298dfa0526c	true
admin/src/api/public-response.ts	Goodall;configuracoesSEO;integral_inicial	3ad4d2ba29b4c4b93f994c3802b6f24d4db2f9420a40c7cd69780ae8ff9cf35a	true
admin/src/api/req/communities/activity-settings.ts	Socrates;admin275;fonte_congelada_integral	5b77cdf4e4b3531efaf2747061772ee7b9465a21d7df5880c9deb8a2dce9b99a	true
admin/src/api/req/communities/content-reports.ts	Euclid;denuncias;integral | Euclid;conteudo328;integral	7a647141e960f0be751577d0094f93188c1f5fc963ff2a66bb95215a3feb7706	true
admin/src/api/req/communities/dashboard.ts	Socrates;admin275;fonte_congelada_integral	60a705004f2f14569bf019aca7208e30eda3ecb3e1177b9f884375fe877a7518	true
admin/src/api/req/communities/index.ts	Socrates;admin275;fonte_congelada_integral	94def6682a7183ca1bd758d6abe9a38db1d5a15888506df3f34b36a96a11238b	true
admin/src/api/req/communities/params.ts	Euclid;denuncias;integral | principal;integracao;integral	ef6d900132da9286d435e05a02bfae719457c9c77b5aac7650dd1762f5ef68d3	true
admin/src/api/req/communities/types/content.ts	Euclid;conteudo328;integral	e349159eeed5e0e339b093d657c3857e1e418383362c1cf67745b665c66eb3ff	true
admin/src/api/req/communities/types/dashboard.ts	Socrates;admin275;fonte_congelada_integral	a654f960cd100d7cd5b57565d60afc4219ee9b66adf00466fe9f9a0da2b14c2b	true
admin/src/api/req/communities/types/detail-list.ts	Socrates;admin275;fonte_congelada_integral	9290e218ded3f449a8807be9641f54d72cff3305da9916a171ec9053f9de0c77	true
admin/src/api/req/communities/types/ranking-reports.ts	Euclid;denuncias;integral	49cc55b192f13269acabba9a919925068511caff05045db3694c9fe158dc1ba1	true
admin/src/api/req/communities/types/statistics.ts	Socrates;admin275;fonte_congelada_integral	b08e31e91350dfb2e9a945f23cc671df0cd0e10dcb17c2be73453e85173d7e38	true
admin/src/api/req/dashboard/index.ts	Socrates;admin275;fonte_congelada_integral	fb417123feecce4694e4396833bbf3e046ce91cee23272b0be19121ea5bfce9d	true
admin/src/api/req/finance/index.ts	Tesla;financeiro330;integral_inicial	08575247acc4c807bf036f368557ba7812245e2823033e5b66ad69533634fd77	true
admin/src/api/req/moderation/index.ts	Socrates;admin275;fonte_congelada_integral	e9eb6018801907c468c6daada0586bc1ef9d6950448b360262a39a8eb17c9f2b	true
admin/src/api/req/notifications/index.ts	Tesla;historico_notificacoes338;integral	ddb87beade759426eae281a624b59c64410d2658bedfeabade398574ba446ef8	true
admin/src/api/req/patients/account.ts	Socrates;admin275;fonte_congelada_integral	4d7c78e35f48024130302a0150e82ef5f94800fc33d60d7c40ef196e781c6e4a	true
admin/src/api/req/patients/dashboard-detail.ts	Socrates;admin275;fonte_congelada_integral	f45ddd3d7496e18542c2dcb644c0aff4f1edb89e0c8a9a436d4b8462df7cc31d	true
admin/src/api/req/patients/index.ts	Socrates;admin275;fonte_congelada_integral	03e93e9781fe0e7d60b708eabf41b87a4129e958c62c560952c562fc1a8fa574	true
admin/src/api/req/patients/list.ts	Socrates;admin275;fonte_congelada_integral	99bc277e0e94009d2e933811b99bae60f82094a2c1b9eb7567d0d98cec04c984	true
admin/src/api/req/patients/params.ts	Socrates;admin275;fonte_congelada_integral	53f7267fc1cf81c0a0431636299d81b0f51eee0b9a69f52b5c2a083ac9ed05fe	true
admin/src/api/req/patients/personal-data.ts	Socrates;admin275;fonte_congelada_integral	077082e8dd298305e9b7a35862ec39449d3e4a9f46e20ec1207d506dfe810405	true
admin/src/api/req/patients/types/account-reports.ts	Socrates;admin275;fonte_congelada_integral	7b6e926f3bd5030b4139d499f33bf82a5a3a388fff2636fd388b19234fc76712	true
admin/src/api/req/patients/types/dashboard.ts	Socrates;admin275;fonte_congelada_integral	00a5845fe502bd2b6806536ab5ed0abfba48d54e171a5f78437665ec709e628e	true
admin/src/api/req/patients/types/detail.ts	Socrates;admin275;fonte_congelada_integral	1469a381d8bd72fb264d83c946656a18c8cb689d70b5875e2002355f861edf76	true
admin/src/api/req/psychologists/billing-statistics.ts	Socrates;admin275;fonte_congelada_integral	aab2d6465aa064037de036aab7a82c73b6f42c882bdb462ec9ef4d39fa481894	true
admin/src/api/req/psychologists/courtesy-registry.ts	Socrates;admin275;fonte_congelada_integral	6aa4436deb3326e640db23d9f4f88233d395c0f9589b54ac8cdf35ea4c0644df	true
admin/src/api/req/psychologists/dashboard.ts	Socrates;admin275;fonte_congelada_integral	f4585532872bcf8e0547b2f40274af135380aecfdc532b7a22fe1eb691663617	true
admin/src/api/req/psychologists/detail-account.ts	Socrates;admin275;fonte_congelada_integral	f5b367952de9d7f042db044ef7e2504451d25cf4f4bc4625ab309d21488c2129	true
admin/src/api/req/psychologists/index.ts	Socrates;admin275;fonte_congelada_integral	99edddbb611eab265592b100c40c98c024ad575f91ac349112a411dc57f28dc5	true
admin/src/api/req/psychologists/params.ts	Socrates;admin275;fonte_congelada_integral	fd3ad3f94218e7d4af4a09c32537ec80557a645cf80e62f5a3c64a6c1cb783eb	true
admin/src/api/req/psychologists/types/content.ts	Socrates;admin275;fonte_congelada_integral	f0650aa3625b9ca86cec1c75bcd005df88d79d118d07068e75eeab7a237ae503	true
admin/src/api/req/psychologists/types/dashboard-core.ts	Socrates;admin275;fonte_congelada_integral	c74f50971a44a642d9dcd6ad72abacf6d6f7bc5360c6fa022fa183ca6aa6c502	true
admin/src/api/req/psychologists/types/dashboard-matrices.ts	Socrates;admin275;fonte_congelada_integral	41017353b8b9c739fc58df5fc68b08f53238987265e6c9bd94676df94f968710	true
admin/src/api/req/psychologists/types/dashboard-profile.ts	Socrates;admin275;fonte_congelada_integral	4843ac136ec9bd65a7439a052c5c42c02aa4ced94f16f250c26bd7d2b7e044e9	true
admin/src/api/req/psychologists/types/detail.ts	Socrates;admin275;fonte_congelada_integral	0ad25a390362ed3655b9294262c4678e1bed70867335bb527aa97d9ff73aca2f	true
admin/src/api/req/psychologists/types/list.ts	Socrates;admin275;fonte_congelada_integral	495ef02ca4512ee847b8989831044ac9b3161567fa0c70e9d05a027503c9281d	true
admin/src/api/req/psychologists/types/statistics.ts	Socrates;admin275;fonte_congelada_integral	7e6e70e17136f378f964e770005a249af6b3aca33dcd4e20f8ac4d5c634cc77b	true
admin/src/api/req/settings/index.ts	Goodall;configuracoesSEO;integral_inicial	2f0c95ff8022899b999da6912a1881e093c07058973abe62dded92b93234b4e6	true
admin/src/api/req/traffic/index.ts	Socrates;admin275;fonte_congelada_integral	3e5056715d11cf6ca503bd765a6762a08b57d7c350ac15cce7de03f249e2b760	true
admin/src/api/req/video-assets/index.ts	Socrates;admin275;fonte_congelada_integral	afb1ef16cec22533c9ef5c73e9afe7f20dd9529509dca4caa819eacc40e6b523	true
admin/src/api/types.ts	Socrates;admin275;fonte_congelada_integral	568d0ba1f5abd61b6c197d5408c40f1c9907aeb1b5aa9154516453255e6b33dd	true
admin/src/app/(admin)/comunidades/[slug]/client.tsx	Socrates;admin275;fonte_congelada_integral	0a7e8f02529ecc3efca3bed77132474bee37eca10eb2692ba69cb7ab93cb4e25	true
admin/src/app/(admin)/comunidades/[slug]/components/community-edit-form.tsx	Socrates;admin275;fonte_congelada_integral	cc95a55c87db1f1dd445093e9c65a1120991ba650c9fe104b6b48bfa45f18f9c	true
admin/src/app/(admin)/comunidades/[slug]/components/community-header.tsx	Socrates;admin275;fonte_congelada_integral	a414df9481c2732e0d50b51753b0e6f04c328938ad9675cbe20334edb6c757ff	true
admin/src/app/(admin)/comunidades/[slug]/components/content-card.tsx	Euclid;conteudo328;integral	e4a9cb61c529018338e048db0153b0e50fcdfa1de034f1a6648bc6d0a50468ec	true
admin/src/app/(admin)/comunidades/[slug]/components/content-controls.tsx	Euclid;denuncias;integral | principal;denunciasUI;integral | Euclid;conteudo328;integral	dfbd7d5890d875577410da95811eded5b4205384c30ff5bc025d5f288907bfed	true
admin/src/app/(admin)/comunidades/[slug]/components/content-media.tsx	Socrates;admin275;fonte_congelada_integral	7a5cc6790edf66dcc4592e4bfa72ddf6e92a7823ad4510be80147c86dca52b33	true
admin/src/app/(admin)/comunidades/[slug]/components/content-shared.tsx	Socrates;admin275;fonte_congelada_integral	3bd8f782959548d586ec0677c69be7b1dbd40fc829cf92a21925a4c7cd771ddf	true
admin/src/app/(admin)/comunidades/[slug]/components/highlights.tsx	Socrates;admin275;fonte_congelada_integral	1acdca66a4c57798f67e22e0bf682c5225f87dc2a36d448689680eadb53189b4	true
admin/src/app/(admin)/comunidades/[slug]/components/mentors-and-posts.tsx	Socrates;admin275;fonte_congelada_integral	286c710e0dfec3a5c70a9cc64714416fb3bbb254d9a36d0683da23a4dda7e8a5	true
admin/src/app/(admin)/comunidades/[slug]/components/report-cards.tsx	Euclid;denuncias;integral	abe8d45dc4caa8d0e558c16d2bd7947d6c6860eeef0b2e0a5f40740bcaf4baf4	true
admin/src/app/(admin)/comunidades/[slug]/components/rules-manager.tsx	Socrates;admin275;fonte_congelada_integral	a0be67699f9929f8015e4b7fcd567037a4371c3739bdba7bcb54d78afbd6d35a	true
admin/src/app/(admin)/comunidades/[slug]/components/statistics-activity-hours.tsx	Socrates;admin275;fonte_congelada_integral	44f3eb15c9b1741a49513a112de346635365a131e2f383aac1155d433c7a8ec7	true
admin/src/app/(admin)/comunidades/[slug]/components/statistics-coverage.tsx	Socrates;admin275;fonte_congelada_integral	b60a3e312a2dd0a98b2f4bdc1609b571d77cc668961181d46e104d0cacf7046e	true
admin/src/app/(admin)/comunidades/[slug]/components/statistics-formats.tsx	Socrates;admin275;fonte_congelada_integral	45a7f42caf1947f2d1171aec06b99900ee086673c7c1a62ff49836f95ab81894	true
admin/src/app/(admin)/comunidades/[slug]/components/statistics-metrics.tsx	Socrates;admin275;fonte_congelada_integral	19a2aae9fa45505f7f5a0ce77f494a539ea2d767fadaa6ec6de43993889a3390	true
admin/src/app/(admin)/comunidades/[slug]/components/status-control.tsx	Socrates;admin275;fonte_congelada_integral	faca4ab55f775cafcc8d179e498a971437cf3b335c21137e59c45f2ca9073673	true
admin/src/app/(admin)/comunidades/[slug]/conteudo/[type]/[id]/client.tsx	Socrates;admin275;fonte_congelada_integral	04f60c4c4c1e8c2f1e8251183b9338e24ccb3412643ebee4fe65dc8450d88fe8	true
admin/src/app/(admin)/comunidades/[slug]/conteudo/[type]/[id]/components/moderation.tsx	Socrates;admin275;fonte_congelada_integral	6c936374abad645dc58c92b1a1647a89f456b423d348c34145be692f446f775e	true
admin/src/app/(admin)/comunidades/[slug]/conteudo/[type]/[id]/components/preview.tsx	Socrates;admin275;fonte_congelada_integral	a31b0a0061176ab39280b9c79b43490ef27be1bc2a2efb453f62359eee49f716	true
admin/src/app/(admin)/comunidades/[slug]/conteudo/[type]/[id]/components/video-analytics.tsx	Socrates;admin275;fonte_congelada_integral	d0219720aa0fdb0f41e340a0391980117a2059b864de36cab0761c049d2041f1	true
admin/src/app/(admin)/comunidades/[slug]/conteudo/[type]/[id]/modules/content-support.tsx	Socrates;admin275;fonte_congelada_integral	dc2b47a77e6f9fc7ca45d9df3442d2a7e4041a1ab3bfce9454080782a716b130	true
admin/src/app/(admin)/comunidades/[slug]/conteudo/[type]/[id]/modules/video-support.ts	Socrates;admin275;fonte_congelada_integral	c4280e9da61bfde5c0a201bf3214d4c76418626ca3c7122e0bcbe8590f477f4e	true
admin/src/app/(admin)/comunidades/[slug]/conteudo/[type]/[id]/page.tsx	Socrates;admin275;fonte_congelada_integral	b17d626d6ebf4f75dba51214e32e7002164a1472c9bb0921bc9e3254bed416bb	true
admin/src/app/(admin)/comunidades/[slug]/modules/detail-support.tsx	Euclid;denuncias;integral | Euclid;conteudo328;integral	ee59f16b9eef68d3d78f9a5cf677b76241a7ace1665860b8dac6cfdce2943777	true
admin/src/app/(admin)/comunidades/[slug]/modules/statistics-support.ts	Socrates;admin275;fonte_congelada_integral	6464da9aa50c7543fbe8e1822e00ee78c17d53d6f83b5bf52e5c4ceb242f99f2	true
admin/src/app/(admin)/comunidades/[slug]/page.tsx	Socrates;admin275;fonte_congelada_integral	0d10785d7e54b5b477f66e181cd1f2c22eeb2dc897b275d05883bf1710a8d18f	true
admin/src/app/(admin)/comunidades/[slug]/views/activities-tab.tsx	Socrates;admin275;fonte_congelada_integral	f3009752ae46562f5bf7749a554f7f72de7a5a8916220ed5889e092cf8112782	true
admin/src/app/(admin)/comunidades/[slug]/views/content-tab.tsx	principal;conteudoUI;integral | Euclid;conteudo328;integral	139b14a41ad6a52c9b53aa21ffeb595d798434b242c9c1556799990645bdb3d6	true
admin/src/app/(admin)/comunidades/[slug]/views/detail-content.tsx	Socrates;admin275;fonte_congelada_integral	f950010beb2828c82b017e6660aa651066487c2f1218e9e9b7b2360ceec17a40	true
admin/src/app/(admin)/comunidades/[slug]/views/ranking-tab.tsx	Socrates;admin275;fonte_congelada_integral	1ae6ed48fcb5083d635b47fcae265c6fe38d4d138cfaa2eb9156e54fa983cfdc	true
admin/src/app/(admin)/comunidades/[slug]/views/reports-tab.tsx	Euclid;denuncias;integral | principal;denunciasUI;integral | Euclid;conteudo328;integral	1149c7e8b1f67d38e25212ba47a67083476c986f010c8e9cd8fdf9d86467e71b	true
admin/src/app/(admin)/comunidades/[slug]/views/statistics-tab.tsx	Socrates;admin275;fonte_congelada_integral	7f8ad63b4708bbeef994c7a7cbc478c35a4b1359ecc15cd118f3165f48dc7def	true
admin/src/app/(admin)/comunidades/client.tsx	parent;344;fonte_integral_e_diff_final	68b8d0dafddc2918f1be10fe072d96e52dcaad891bd0601c2c5443f67ab94842	true
admin/src/app/(admin)/comunidades/components/activity-coverage.tsx	Socrates;admin275;fonte_congelada_integral	8f5b16b4cae6fc7bd6ca33dff9782de5657f19f4a72f12c9441ad28859bc781a	true
admin/src/app/(admin)/comunidades/components/common.tsx	Socrates;admin275;fonte_congelada_integral | parent;344;fonte_integral_e_diff_final	a34e3982238e57ff471fde1653079be5183500e7ba3615ade45ea6a106b29ebc	true
admin/src/app/(admin)/comunidades/components/content-formats.tsx	Socrates;admin275;fonte_congelada_integral	7d34bf3024560bf6b8b6eed0fb0bfc13044a1d630fff9ab32f7930e3a0ce38b9	true
admin/src/app/(admin)/comunidades/components/post-actions.tsx	Socrates;admin275;fonte_congelada_integral	99d25d2cdf326718bf54d5854b3298f18c5fce1bfd6f2d18b4cbec8b322eb089	true
admin/src/app/(admin)/comunidades/components/post-tables.tsx	Socrates;admin275;fonte_congelada_integral	1bccf51f2aa09ccb403cdf19ff394d406c7b0ba27b36646cbf8be27ce27999a2	true
admin/src/app/(admin)/comunidades/components/statistics.tsx	Socrates;admin275;fonte_congelada_integral	388408fcbfaaae6cc08c65bdbbe61e029292a0a8236e1d1eb7fb62e4af30a323	true
